 store_id | rental_year | rental_month | count_rentals 
        2 |        2005 |            7 |          3367
        1 |        2005 |            7 |          3342
        1 |        2005 |            8 |          2892
        2 |        2005 |            8 |          2794
        1 |        2005 |            6 |          1163
        2 |        2005 |            6 |          1148
        2 |        2005 |            5 |           598
        1 |        2005 |            5 |           558
        2 |        2006 |            2 |            97
        1 |        2006 |            2 |            85

